zanr,pocet,zeme
Fantasy,7,PL
Film-Noir,0,PL
Historický,18,PL
Horor,4,PL
Hudební,5,PL
Katastrofický,0,PL
Komedie,45,PL
Krimi,12,PL
Muzikál,0,PL
Mysteriózní,4,PL
Poetický,0,PL
Pohádka,0,PL
Psychologický,12,PL
Rodinný,3,PL
Romantický,17,PL
Sci-Fi,9,PL
Sportovní,0,PL
Thriller,15,PL
Váleèný,29,PL
Western,0,PL
Životopisný,5,PL
Akèní,10,RO
Animovaný,1,RO
Dobrodružný,8,RO
Dokumentární,4,RO
Drama,49,RO
Experimentální,0,RO
Fantasy,1,RO
Film-Noir,0,RO
Historický,12,RO
Horor,2,RO
Hudební,2,RO
Katastrofický,0,RO
Komedie,19,RO
Krimi,2,RO
Muzikál,1,RO
Mysteriózní,1,RO
Poetický,0,RO
Pohádka,1,RO
Psychologický,1,RO
Rodinný,2,RO
Romantický,6,RO
Sci-Fi,1,RO
Sportovní,0,RO
Thriller,6,RO
Váleèný,10,RO
Western,5,RO
Životopisný,2,RO
Akèní,15,SE
Animovaný,4,SE
Dobrodružný,6,SE
Dokumentární,5,SE
Drama,79,SE
Experimentální,0,SE
Fantasy,4,SE
Film-Noir,0,SE
Historický,8,SE
Horor,2,SE
Hudební,0,SE
Katastrofický,1,SE
Komedie,20,SE
Krimi,9,SE
Muzikál,2,SE
Mysteriózní,3,SE
Poetický,1,SE
Pohádka,1,SE
Psychologický,1,SE
Rodinný,2,SE
Romantický,20,SE
Sci-Fi,1,SE
Sportovní,0,SE
Thriller,9,SE
Váleèný,11,SE
Western,1,SE
Životopisný,2,SE
Akèní,0,SK
Animovaný,2,SK
Dobrodružný,3,SK
Dokumentární,31,SK
Drama,33,SK
Experimentální,0,SK
Fantasy,0,SK
Film-Noir,0,SK
Historický,3,SK
Horor,1,SK
Hudební,3,SK
Katastrofický,0,SK
Komedie,12,SK
Krimi,1,SK
Muzikál,0,SK
Mysteriózní,1,SK
Poetický,3,SK
Pohádka,0,SK
Psychologický,2,SK
Rodinný,1,SK
Romantický,4,SK
Sci-Fi,0,SK
Sportovní,1,SK
Thriller,2,SK
Váleèný,3,SK
Western,0,SK
Životopisný,3,SK
Akèní,14,SS
Animovaný,6,SS
Dobrodružný,40,SS
Dokumentární,7,SS
Drama,198,SS
Experimentální,1,SS
Fantasy,33,SS
Film-Noir,0,SS
Historický,26,SS
Horor,1,SS
Hudební,5,SS
Katastrofický,0,SS
Komedie,47,SS
Krimi,8,SS
Muzikál,12,SS
Mysteriózní,5,SS
Poetický,4,SS
Pohádka,18,SS
Psychologický,5,SS
Rodinný,39,SS
Romantický,49,SS
Sci-Fi,19,SS
Sportovní,1,SS
Thriller,5,SS
Váleèný,101,SS
Western,6,SS
Životopisný,10,SS
Akèní,160,UK
Animovaný,28,UK
Dobrodružný,226,UK
Dokumentární,124,UK
Drama,1000,UK
Experimentální,0,UK
Fantasy,101,UK
Film-Noir,3,UK
Historický,82,UK
Horor,176,UK
Hudební,65,UK
Katastrofický,0,UK
Komedie,414,UK
Krimi,212,UK
Muzikál,35,UK
Mysteriózní,122,UK
Poetický,1,UK
Pohádka,2,UK
Psychologický,12,UK
Rodinný,73,UK
Romantický,282,UK
Sci-Fi,111,UK
Sportovní,20,UK
Thriller,332,UK
Váleèný,145,UK
Western,18,UK
Životopisný,120,UK
Akèní,1101,US
Animovaný,203,US
Dobrodružný,822,US
Dokumentární,373,US
Drama,3513,US
Experimentální,8,US
Fantasy,357,US
Film-Noir,125,US
Historický,165,US
Horor,808,US
Hudební,183,US
Katastrofický,14,US
Komedie,2143,US
Krimi,1047,US
Muzikál,216,US
Mysteriózní,440,US
Poetický,9,US
Pohádka,10,US
Psychologický,44,US
Rodinný,436,US
Romantický,1189,US
Sci-Fi,579,US
Sportovní,204,US
Thriller,1409,US
Váleèný,362,US
Western,361,US
Životopisný,264,US
Akèní,15,RU
Animovaný,4,RU
Dobrodružný,6,RU
Dokumentární,5,RU
Drama,79,RU
Experimentální,0,RU
Fantasy,4,RU
Film-Noir,0,RU
Historický,8,RU
Horor,2,RU
Hudební,0,RU
Katastrofický,1,RU
Komedie,20,RU
Krimi,9,RU
Muzikál,2,RU
Mysteriózní,3,RU
Poetický,1,RU
Pohádka,1,RU
Psychologický,1,RU
Rodinný,2,RU
Romantický,20,RU
Sci-Fi,1,RU
Sportovní,0,RU
Thriller,9,RU
Váleèný,11,RU
Western,1,RU
Životopisný,2,RU
