rok,csfd,zanr
1945,24,DRAMA
1946,39,DRAMA
1947,42,DRAMA
1948,52,DRAMA
1949,46,DRAMA
1950,49,DRAMA
1951,40,DRAMA
1952,47,DRAMA
1953,61,DRAMA
1954,60,DRAMA
1955,60,DRAMA
1956,66,DRAMA
1957,58,DRAMA
1958,66,DRAMA
1959,78,DRAMA
1960,76,DRAMA
1961,80,DRAMA
1962,94,DRAMA
1963,81,DRAMA
1964,84,DRAMA
1965,81,DRAMA
1966,98,DRAMA
1967,105,DRAMA
1968,102,DRAMA
1969,131,DRAMA
1970,123,DRAMA
1971,122,DRAMA
1972,119,DRAMA
1973,137,DRAMA
1974,125,DRAMA
1975,102,DRAMA
1976,125,DRAMA
1977,113,DRAMA
1978,112,DRAMA
1979,129,DRAMA
1980,99,DRAMA
1981,119,DRAMA
1982,107,DRAMA
1983,114,DRAMA
1984,133,DRAMA
1985,117,DRAMA
1986,130,DRAMA
1987,135,DRAMA
1988,143,DRAMA
1989,144,DRAMA
1990,140,DRAMA
1991,151,DRAMA
1992,149,DRAMA
1993,163,DRAMA
1994,159,DRAMA
1995,167,DRAMA
1996,175,DRAMA
1997,180,DRAMA
1998,187,DRAMA
1999,205,DRAMA
2000,194,DRAMA
2001,199,DRAMA
2002,218,DRAMA
2003,187,DRAMA
2004,201,DRAMA
2005,197,DRAMA
2006,197,DRAMA
2007,215,DRAMA
2008,189,DRAMA
2009,187,DRAMA
2010,174,DRAMA
2011,173,DRAMA
2012,176,DRAMA
1911,0,EXPER
1912,0,EXPER
1913,0,EXPER
1914,0,EXPER
1915,0,EXPER
1916,0,EXPER
1917,0,EXPER
1918,0,EXPER
1919,0,EXPER
1920,0,EXPER
1921,0,EXPER
1922,0,EXPER
1923,0,EXPER
1924,0,EXPER
1925,0,EXPER
1926,1,EXPER
1927,0,EXPER
1928,0,EXPER
1929,0,EXPER
1930,0,EXPER
1931,1,EXPER
1932,0,EXPER
1933,0,EXPER
1934,0,EXPER
1935,0,EXPER
1936,0,EXPER
1937,0,EXPER
1938,0,EXPER
1939,0,EXPER
1940,0,EXPER
1941,0,EXPER
1942,0,EXPER
1943,0,EXPER
