rok,csfd,zanr
1932,0,ZIVOT
1933,2,ZIVOT
1934,2,ZIVOT
1935,1,ZIVOT
1936,3,ZIVOT
1937,3,ZIVOT
1938,1,ZIVOT
1939,3,ZIVOT
1940,3,ZIVOT
1941,1,ZIVOT
1942,1,ZIVOT
1943,1,ZIVOT
1944,3,ZIVOT
1945,1,ZIVOT
1946,0,ZIVOT
1947,1,ZIVOT
1948,0,ZIVOT
1949,0,ZIVOT
1950,2,ZIVOT
1951,3,ZIVOT
1952,4,ZIVOT
1953,3,ZIVOT
1954,3,ZIVOT
1955,5,ZIVOT
1956,5,ZIVOT
1957,2,ZIVOT
1958,1,ZIVOT
1959,2,ZIVOT
1960,2,ZIVOT
1961,3,ZIVOT
1962,5,ZIVOT
1963,1,ZIVOT
1964,3,ZIVOT
1965,2,ZIVOT
1966,3,ZIVOT
1967,2,ZIVOT
1968,6,ZIVOT
1969,1,ZIVOT
1970,2,ZIVOT
1971,6,ZIVOT
1972,6,ZIVOT
1973,4,ZIVOT
1974,5,ZIVOT
1975,2,ZIVOT
1976,4,ZIVOT
1977,2,ZIVOT
1978,1,ZIVOT
1979,6,ZIVOT
1980,6,ZIVOT
1981,7,ZIVOT
1982,5,ZIVOT
1983,5,ZIVOT
1984,5,ZIVOT
1985,9,ZIVOT
1986,10,ZIVOT
1987,10,ZIVOT
1988,7,ZIVOT
1989,11,ZIVOT
1990,9,ZIVOT
1991,6,ZIVOT
1992,9,ZIVOT
1993,11,ZIVOT
1994,12,ZIVOT
1995,9,ZIVOT
1996,10,ZIVOT
1997,14,ZIVOT
1998,9,ZIVOT
1999,10,ZIVOT
2000,11,ZIVOT
2001,7,ZIVOT
2002,13,ZIVOT
2003,9,ZIVOT
2004,12,ZIVOT
2005,13,ZIVOT
2006,11,ZIVOT
2007,19,ZIVOT
2008,22,ZIVOT
2009,18,ZIVOT
2010,22,ZIVOT
2011,17,ZIVOT
2012,14,ZIVOT
