reziser,jmeno,name,rok,zanr,zeme,autor,csfd,imdb,odkaz,link,rozdil
"Allen, Woody",Darebáèci,Small Time Crooks ,2000,Komedie/Krimi/Romantickı,USA,Woody Allen,7.5,6.5,www.csfd.cz/film/54-darebacci/,www.imdb.com/title/tt0196216/,1
"Allen, Woody",Prokletí lutozeleného škorpióna,"Curse of the Jade Scorpion, The ",2001,Komedie/Krimi/Drama/Mysteriózní,"USA, Nìmecko",Woody Allen,8,6.7,www.csfd.cz/film/33-prokleti-zlutozeleneho-skorpiona/,www.imdb.com/title/tt0256524/,1.3
"Allen, Woody",Hollywood v koncích,Hollywood Ending ,2002,Komedie/Drama,USA,Woody Allen,7.3,6.4,www.csfd.cz/film/39-hollywood-v-koncich/,www.imdb.com/title/tt0278823/,0.899999999999999
"Allen, Woody",Match Point - Hra osudu,Match Point ,2005,Drama/Romantickı/Krimi/Thriller,"Velká Británie, Lucembursko",Woody Allen,8,7.7,www.csfd.cz/film/220721-match-point-hra-osudu/,www.imdb.com/title/tt0416320/,0.3
"Allen, Woody",Kasandøin sen,Cassandra's Dream ,2007,Krimi/Drama/Thriller/Romantickı,"USA, Velká Británie",Woody Allen,7.2,6.7,www.csfd.cz/film/225930-kasandrin-sen/,www.imdb.com/title/tt0795493/,0.5
"Allen, Woody",Vicky Cristina Barcelona,Vicky Cristina Barcelona ,2008,Drama/Romantickı,"Španìlsko, USA",Woody Allen,7.7,7.2,www.csfd.cz/film/234982-vicky-cristina-barcelona/,www.imdb.com/title/tt0497465/,0.5
"Allen, Woody","Uívej si, co to jde",Whatever Works ,2009,Komedie/Romantickı,"USA, Francie",Woody Allen,7.4,7.1,www.csfd.cz/film/245363-uzivej-si-co-to-jde/,www.imdb.com/title/tt1178663/,0.300000000000001
"Allen, Woody",Pùlnoc v Paøíi,Midnight in Paris ,2011,Komedie/Romantickı/Fantasy,"USA, Španìlsko",Woody Allen,7.7,7.7,www.csfd.cz/film/274980-pulnoc-v-parizi/,www.imdb.com/title/tt1605783/,0
"Riefenstahl, Leni",Modré svìtlo,"Blaue Licht, Das ",1932,Drama/Fantasy/Mysteriózní,Nìmecko,"Béla Balázs, Leni Riefenstahl",7.1,6.8,www.csfd.cz/film/104400-modre-svetlo/,www.imdb.com/title/tt0022694/,0.3
"Riefenstahl, Leni",Vítìzství víry,"Sieg des Glaubens, Der ",1933,Dokumentární,Nìmecko,Leni Riefenstahl,7.8,5.8,www.csfd.cz/film/101160-vitezstvi-viry/,www.imdb.com/title/tt0156078/,2
"Riefenstahl, Leni",Triumf vùle,Triumph des Willens ,1935,Dokumentární,Nìmecko,Leni Riefenstahl,7.7,7.5,www.csfd.cz/film/99752-triumf-vule/,www.imdb.com/title/tt0025913/,0.2
"Riefenstahl, Leni",Oslava krásy,Olympia 2. Teil - Fest der Schönheit ,1938,Dokumentární/Sportovní,Nìmecko,Leni Riefenstahl,8.5,7.7,www.csfd.cz/film/105767-oslava-krasy/,www.imdb.com/title/tt0030523/,0.8
