Jak Golem na svìt pøišel|Golem, wie er in die Welt kam, Der (1920)|1920|Fantasy / Horor|Nìmecko|"Carl Boese, <a href=""/tvurce/10146-paul-wegener/"">Paul Wegener</a>"|71%|7.2|www.csfd.cz/film/141044-jak-golem-na-svet-prisel/|www.imdb.com/title/tt0011237/
Ètvrtı sòatek paní Margarety|Prästänkan (1920)|1920|Komedie|Švédsko|Carl Theodor Dreyer|75%|7.2|www.csfd.cz/film/104971-ctvrty-snatek-pani-margarety/|www.imdb.com/title/tt0011607/
Zorro mstitel|Mark of Zorro, The (1920)|1920|Dobrodrunı|USA|Fred Niblo|66%|7.2|www.csfd.cz/film/24013-zorro-mstitel/|www.imdb.com/title/tt0011439/
Pavouci II (Brillantová loï)|Spinnen, Die 2. Teil: Das Brilliantenschiff (1920)|1920|Dobrodrunı / Western|Nìmecko|Fritz Lang|61%|6.3|www.csfd.cz/film/5624-pavouci-ii-brillantova-lod/|www.imdb.com/title/tt0011723/
Sumurun|Sumurun (1920)|1920|Drama|Nìmecko|Ernst Lubitsch|61%|6.1|www.csfd.cz/film/6148-sumurun/|www.imdb.com/title/tt0011742/
Within Our Gates (1920)|Within Our Gates (1920)|1920|Drama|USA|Oscar Micheaux|49%|6.4|www.csfd.cz/film/105600-within-our-gates/|www.imdb.com/title/tt0011870/
Kid|Kid, The (1921)|1921|Komedie / Drama / Rodinnı|USA|Charles Chaplin|87%|8.3|www.csfd.cz/film/1482-kid/|www.imdb.com/title/tt0012349/
Vozka smrti|Körkarlen (1921)|1921|Drama / Mysteriózní / Fantasy / Horor|Švédsko|Victor Sjöström|86%|7.9|www.csfd.cz/film/107584-vozka-smrti/|www.imdb.com/title/tt0012364/
Unavená smrt|Müde Tod, Der (1921)|1921|Fantasy|Nìmecko|Fritz Lang|85%|7.6|www.csfd.cz/film/5615-unavena-smrt/|www.imdb.com/title/tt0012494/
Sedm let neštìstí|Seven Years Bad Luck (1921)|1921|Komedie|USA|Max Linder|84%|NA|www.csfd.cz/film/163114-sedm-let-nestesti/|www.imdb.com/title/tt0160835/
Listy ze Satanovy knihy|Blade af Satans Bog (1921)|1921|Drama|Dánsko|Carl Theodor Dreyer|83%|6.7|www.csfd.cz/film/104961-listy-ze-satanovy-knihy/|www.imdb.com/title/tt0011000/
Horská koèka|Bergkatze, Die (1921)|1921|Komedie / Drama / Romantickı|Nìmecko|Ernst Lubitsch|75%|6.7|www.csfd.cz/film/6094-horska-kocka/|www.imdb.com/title/tt0011960/
Eldorado (1921)|Eldorado (1921)|1921|Drama|Francie|Marcel L'Herbier|80%|6.9|www.csfd.cz/film/241388-eldorado/|www.imdb.com/title/tt0012134/
Hamlet|Hamlet (1921)|1921|Drama|Nìmecko|William Shakespeare (divadelní hra)|82%|6.9|www.csfd.cz/film/141860-hamlet/|www.imdb.com/title/tt0012249/
Camille (1921)|Camille (1921)|1921|Drama / Romantickı|USA|Ray C. Smallwood|81%|6.5|www.csfd.cz/film/27086-camille/|www.imdb.com/title/tt0012027/
Cikáni (1921)|Cikáni (1921)|1921|Drama|Èeskoslovensko|Karel Anton|71%|7.9|www.csfd.cz/film/42856-cikani/|www.imdb.com/title/tt0261612/
Dìti velké revoluce|Orphans of the Storm (1921)|1921|Drama|USA|D. W. Griffith|72%|7.7|www.csfd.cz/film/3757-deti-velke-revoluce/|www.imdb.com/title/tt0012532/
Jánošík (1921)|Jánošík (1921)|1921|Drama / Historickı / Dobrodrunı / Poetickı|Èeskoslovensko / USA|Jaroslav Siake¾|70%|7.0|www.csfd.cz/film/161728-janosik/|www.imdb.com/title/tt0461974/
Pøíchozí z temnot (1921)|Pøíchozí z temnot (1921)|1921|Mysteriózní / Fantasy / Drama / Horor|Èeskoslovensko|Jan Stanislav Kolár|70%|5.9|www.csfd.cz/film/30449-prichozi-z-temnot/|www.imdb.com/title/tt0165435/
Three Musketeers, The (1921)|Three Musketeers, The (1921)|1921|Akèní / Dobrodrunı|USA|Fred Niblo|73%|6.8|www.csfd.cz/film/24030-three-musketeers-the/|www.imdb.com/title/tt0012752/
Ètyøi pøíšerní jezdci z Apokalypsy|Four Horsemen of the Apocalypse, The (1921)|1921|Drama / Váleènı|USA|Rex Ingram|65%|7.5|www.csfd.cz/film/27092-ctyri-priserni-jezdci-z-apokalypsy/|www.imdb.com/title/tt0012190/
Upír Nosferatu|Nosferatu, eine Symphonie des Grauens (1922)|1922|Horor / Fantasy / Mysteriózní|Nìmecko|Friedrich W. Murnau|85%|8.0|www.csfd.cz/film/6860-upir-nosferatu/|www.imdb.com/title/tt0013442/
Nanuk - èlovìk primitivní|Nanook of the North (1922)|1922|Dokumentární|USA / Francie|Robert J. Flaherty|85%|7.8|www.csfd.cz/film/81655-nanuk-clovek-primitivni/|www.imdb.com/title/tt0013427/
Èarodìjnictví v prùbìhu vìkù|Häxan (1922)|1922|Horor / Dokumentární|Dánsko / Švédsko|Benjamin Christensen|83%|7.7|www.csfd.cz/film/157247-carodejnictvi-v-prubehu-veku/|www.imdb.com/title/tt0013257/
Putièka|Grandma's Boy (1922)|1922|Komedie / Rodinnı|USA|Fred C. Newmeyer|87%|7.0|www.csfd.cz/film/25157-puticka/|www.imdb.com/title/tt0013201/
Doktor Mabuse, dobrodruh|Dr. Mabuse, der Spieler - Ein Bild der Zeit (1922)|1922|Krimi / Horor / Thriller / Mysteriózní|Nìmecko|Fritz Lang|80%|7.7|www.csfd.cz/film/5598-doktor-mabuse-dobrodruh/|www.imdb.com/title/tt0013086/
Robin Hood (1922)|Robin Hood (1922)|1922|Dobrodrunı / Romantickı / Rodinnı|USA|Allan Dwan|80%|7.4|www.csfd.cz/film/24025-robin-hood/|www.imdb.com/title/tt0013556/
Fantom|Phantom (1922)|1922|Drama|Nìmecko|Friedrich W. Murnau|73%|6.9|www.csfd.cz/film/6861-fantom/|www.imdb.com/title/tt0013496/
Sodom und Gomorrha (1922)|Sodom und Gomorrha (1922)|1922|Drama|Nìmecko / Rakousko|Michael Curtiz|72%|6.4|www.csfd.cz/film/2018-sodom-und-gomorrha/|www.imdb.com/title/tt0013619/
Bláhové eny|Foolish Wives (1922)|1922|Drama|USA|Erich von Stroheim|61%|7.3|www.csfd.cz/film/9377-blahove-zeny/|www.imdb.com/title/tt0013140/
O patro vıš|Safety Last! (1923)|1923|Akèní / Komedie / Rodinnı / Romantickı|USA|"Sam Taylor, <a href=""/tvurce/80691-fred-c-newmeyer/"">Fred C. Newmeyer</a>"|87%|8.2|www.csfd.cz/film/25268-o-patro-vys/|www.imdb.com/title/tt0014429/
Frigo, obì krevní msty|Our Hospitality (1923)|1923|Komedie / Rodinnı|USA|"Buster Keaton, <a href=""/tvurce/15423-john-g-blystone/"">John G. Blystone</a>"|83%|7.9|www.csfd.cz/film/5122-frigo-obet-krevni-msty/|www.imdb.com/title/tt0014341/
Láska kvete v kadém vìku|Three Ages, The (1923)|1923|Komedie|USA|"Buster Keaton, <a href=""/tvurce/15464-edward-f-cline/"">Edward F. Cline</a>"|82%|7.1|www.csfd.cz/film/5130-laska-kvete-v-kazdem-veku/|www.imdb.com/title/tt0014538/
Dáma z Paøíe|Woman of Paris, A (1923)|1923|Drama|USA|Charles Chaplin|76%|7.0|www.csfd.cz/film/1509-dama-z-parize/|www.imdb.com/title/tt0014624/
Varovné stíny|Schatten - Eine nächtliche Halluzination (1923)|1923|Drama|Nìmecko|Arthur Robison|77%|6.7|www.csfd.cz/film/109284-varovne-stiny/|www.imdb.com/title/tt0013579/
Kolo ivota|Roue, La (1923)|1923|Drama|Francie|Abel Gance|74%|7.5|www.csfd.cz/film/226746-kolo-zivota/|www.imdb.com/title/tt0014417/
Zvoník u Matky Boí|Hunchback of Notre Dame, The (1923)|1923|Drama / Historickı|USA|Wallace Worsley|73%|7.2|www.csfd.cz/film/47732-zvonik-u-matky-bozi/|www.imdb.com/title/tt0014142/
Záhadnı pøípad Galginùv (1923)|Záhadnı pøípad Galginùv (1923)|1923|Dobrodrunı|Èeskoslovensko|Václav Kubásek|71%|NA|www.csfd.cz/film/43250-zahadny-pripad-galginuv/|www.imdb.com/title/tt0313832/
